Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:1 Main,300,11304,3849,131264,"12962,20","1,000%","2,28097","34,74","0,81","15594,1"
Thread Group:2 end-of-the-work,300,11340,58,127202,"7459,54","0,333%","2,26384","41,54","0,45","18791,4"
Thread Group:3 epam-sytems,300,11767,41,127247,"7875,03","0,333%","2,11863","33,65","0,41","16263,9"
Thread Group:4 hello-world,300,14395,45,74127,"9327,74","0,000%","2,28251","48,65","0,45","21824,0"
Thread Group:5 author/siarheituzhyk,300,16186,64,79301,"14025,38","0,333%","2,49632","38,21","0,00","15672,6"
Thread Group:6 2016/11/22/,300,11886,35,72211,"8381,66","0,333%","2,74813","35,75","0,51","13322,2"
Thread Group:7 category/epam/,300,10854,53,43234,"5020,14","0,000%","2,96727","39,04","0,56","13472,0"
Thread Group:8 hello-world/#comment-1,300,11422,47,41463,"4138,91","0,000%","3,22466","68,73","0,63","21824,0"
Thread Group:9 epam-sytems,300,9506,40,26259,"4456,84","0,000%","3,62994","57,82","0,71","16311,0"
Thread Group:10 Main,300,7344,40,17938,"3974,11","0,000%","4,17444","63,10","0,73","15477,9"
TOTAL,3000,11600,35,131264,"8774,02","0,233%","19,49901","320,96","3,67","16855,3"
